lon,lat,ROUTE_NUMBER,DIRECTION,BUS_STOP_ORDER_NUM,BUS_STOP_NUM_1,Current_Stop,BUS_STOP_SUB_NUM_2,BUS_STOP_NUM_2,Next_Stop,PLANNED_ROAD,REAL_ROAD,DELAY,VEHICLE_NUMBER,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.24413,48.99308,12,T,12,2,Na Hlavnej,1,3,Veľká pošta,555,373,-22,385,1614941324372,5,11,48,44
21.24281,48.98658,7,T,3,23,Priemyselné centrum,0,24,Štúrova,462,462,-27,736,1614941384387,5,11,49,44
21.24387,48.99338,1,P,9,2,Na Hlavnej,1,3,Veľká pošta,555,333,-56,738,1614941414394,5,11,50,14
21.24369,48.98723,5,P,6,4,Čierny most,1,24,Štúrova,720,445,85,739,1614941459410,5,11,50,59
21.24277,48.98614,5,P,6,4,Čierny most,1,24,Štúrova,720,595,79,739,1614941489409,5,11,51,29
21.23758,48.99265,12,T,14,186,Pavlovičovo nám.,0,185,Kúpeľná,300,300,-65,385,1614941594461,5,11,53,14
21.24413,48.99305,8,P,10,2,Na Hlavnej,1,3,Veľká pošta,555,373,33,728,1614941759532,5,11,55,59
21.24404,48.99337,1,T,7,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,461,-109,740,1614941939617,5,11,58,59
21.2445,48.99276,10,T,13,4,Čierny most,1,114,Grešova,500,395,-218,396,1614941954623,5,11,59,14
21.2437,48.99377,1,T,8,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,58,-123,740,1614941969633,5,11,59,29
21.24433,48.99301,5D,T,5,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,406,-11,737,1614941999637,5,11,59,59
21.24429,48.99303,4,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,435,-100,722,1614942164713,5,12,2,44
21.24407,48.99337,4,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,461,-95,722,1614942179721,5,12,2,59
21.244,48.99346,4,T,10,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,23,-110,722,1614942194712,5,12,3,14
21.24363,48.99372,15,P,12,2,Na Hlavnej,1,114,Grešova,510,292,57,392,1614942269728,5,12,4,29
21.2418,48.98665,2,P,10,4,Čierny most,0,25,Škultétyho,650,608,54,733,1614942299742,5,12,4,59
21.24369,48.98724,38,T,8,35,Železničná stanica,0,25,Škultétyho,990,838,-143,726,1614942314744,5,12,5,14
21.24099,48.98634,2,P,11,25,Škultétyho,0,199,Prešovská univerzita,766,69,53,733,1614942329751,5,12,5,29
