lon,lat,ROUTE_NUMBER,Trip,TripTime,vehicleID,lastStopOrder,lineID,lineType,DELAY,Current_Stop,Current_Stop_ID,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds,destination,Dir
21.44037,49.0672,707444,126,940,1007803948,10,1007040415,2,-244,"Chmeľov,  nám. ",881,1614091077437,23,15,37,57,"Prešov, AS",0
21.06271,49.09058,708461,24,940,1007804597,21,1007040439,2,-262,Uzovský Šalgov,169,1614091077437,23,15,37,57,"Sabinov, AS",0
21.40102,49.15612,701411,48,940,1007802497,3,1007040359,2,-226,"Koprivnica, Jednota",404,1614091107428,23,15,38,27,"Bardejov, AS",0
21.45097,48.88978,707403,54,940,1007803118,1,1007040396,2,-203,"Červenica, horný koniec ",1073,1614091107428,23,15,38,27,"Prešov, AS",0
21.06271,49.09058,708461,24,940,1007804597,21,1007040439,2,-262,Uzovský Šalgov,169,1614091107428,23,15,38,27,"Sabinov, AS",0
21.47402,49.29684,701432,70,935,1007802938,6,1007040372,2,105,Cernina,764,1614091122433,23,15,38,42,"Bardejov, AS",0
21.45097,48.88978,707403,54,940,1007803118,1,1007040396,2,-203,"Červenica, horný koniec ",1073,1614091122433,23,15,38,42,"Prešov, AS",0
21.44037,49.0672,707444,126,940,1007803948,10,1007040415,2,-184,"Chmeľov,  nám. ",881,1614091122433,23,15,38,42,"Prešov, AS",0
20.9596,49.15249,708403,274,940,1007804233,26,1007040431,2,-247,"Lipany,,AS",2104,1614091122433,23,15,38,42,"Vyšný Slavkov, OcÚ",0
21.06271,49.09058,708461,24,940,1007804597,21,1007040439,2,-202,Uzovský Šalgov,169,1614091152461,23,15,39,12,"Sabinov, AS",0
21.47399,49.29682,701432,70,935,1007802938,6,1007040372,2,165,Cernina,764,1614091167426,23,15,39,27,"Bardejov, AS",0
21.52039,49.11673,701404,60,940,1007802358,1,1007040356,2,-165,"Giraltovce,,AS",1903,1614091197425,23,15,39,57,"Bardejov, AS",0
21.40102,49.15613,701411,48,940,1007802497,3,1007040359,2,-106,"Koprivnica, Jednota",404,1614091197425,23,15,39,57,"Bardejov, AS",0
21.45097,48.88978,707403,54,940,1007803118,1,1007040396,2,-143,"Červenica, horný koniec ",1073,1614091197425,23,15,39,57,"Prešov, AS",0
21.06954,49.00683,707421,25,910,1007803576,15,1007040405,2,68,"Chminianska Nová Ves, ŠM",558,1614091197425,23,15,39,57,"Víťaz, remeselný dom",1
21.37103,49.02192,707442,73,910,1007803922,15,1007040414,2,-177,Okružná ,858,1614091197425,23,15,39,57,"Prešov, AS",1
20.96099,49.16042,708412,31,935,1007804452,2,1007040434,2,70,"Lipany, Gľace, most",280,1614091197425,23,15,39,57,"Kamenica, konečná",1
21.08446,49.10815,708455,58,930,1007804515,7,1007040437,2,-49,"Sabinov, Begálka",191,1614091197425,23,15,39,57,"Sabinov, AS",0
21.25073,48.98471,707445,65,940,1007804006,1,1007040416,2,-245,"Prešov,,AS ",2361,1614091197425,23,15,39,57,"Giraltovce, AS",1
21.06954,49.00683,707421,25,910,1007803576,15,1007040405,2,68,"Chminianska Nová Ves, ŠM",558,1614091212422,23,15,40,12,"Víťaz, remeselný dom",1
21.37103,49.02192,707442,73,910,1007803922,15,1007040414,2,-177,Okružná ,858,1614091212422,23,15,40,12,"Prešov, AS",1
21.06271,49.09058,708461,24,940,1007804597,21,1007040439,2,-141,Uzovský Šalgov,169,1614091212422,23,15,40,12,"Sabinov, AS",0
21.34903,49.00353,707452,14,940,1007804099,1,1007040421,2,-145,"Podhradík, OcÚ ",882,1614091227428,23,15,40,27,"Prešov, AS",0
21.30066,48.95559,707403,29,925,1007803124,6,1007040396,2,-4,"Dulova Ves, č.d.132",1044,1614091272445,23,15,41,12,"Červenica, hor.koniec",1
21.06271,49.09058,708461,24,940,1007804597,21,1007040439,2,-82,Uzovský Šalgov,169,1614091272445,23,15,41,12,"Sabinov, AS",0
21.40102,49.15613,701411,48,940,1007802497,3,1007040359,2,-46,"Koprivnica, Jednota",404,1614091287422,23,15,41,27,"Bardejov, AS",0
