lon,lat,ROUTE_NUMBER,DIRECTION,BUS_STOP_ORDER_NUM,BUS_STOP_NUM_1,Current_Stop,BUS_STOP_SUB_NUM_2,BUS_STOP_NUM_2,Next_Stop,PLANNED_ROAD,REAL_ROAD,DELAY,VEHICLE_NUMBER,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.24132,48.99196,29,P,9,531,Okružná,1,114,Grešova,500,163,42,357,1612268985879,2,13,29,45
21.24094,48.99245,29,P,9,531,Okružná,1,114,Grešova,500,104,-39,357,1612272661119,2,14,31,1
21.24141,48.99198,29,P,9,531,Okružná,1,114,Grešova,500,177,26,397,1612175425822,1,11,30,25
21.24131,48.99209,23,P,2,2,Na Hlavnej,1,531,Okružná,800,611,-37,405,1612179235922,1,12,33,55
21.24109,48.99235,29,P,9,531,Okružná,1,114,Grešova,500,118,-41,357,1612261860681,2,11,31,0
21.24143,48.99197,29,P,9,531,Okružná,1,114,Grešova,500,172,-43,357,1612261875688,2,11,31,15
21.24096,48.99245,23,P,2,2,Na Hlavnej,1,531,Okružná,800,663,64,405,1612198333055,1,17,52,13
21.24142,48.99195,29,P,9,531,Okružná,1,114,Grešova,500,159,-25,357,1612276261194,2,15,31,1
21.24114,48.99207,29,P,8,532,Floriánova,2,531,Okružná,540,540,-49,357,1612276246207,2,15,30,46
21.2411,48.99229,23,P,2,2,Na Hlavnej,1,531,Okružná,800,644,0,405,1612191192558,1,15,53,12
21.24111,48.99222,29,P,9,531,Okružná,1,114,Grešova,500,127,51,397,1612189782513,1,15,29,42
21.24108,48.99206,29,P,8,532,Floriánova,2,531,Okružná,540,540,12,354,1612204198231,1,19,29,58
21.24149,48.99203,29,P,9,531,Okružná,1,114,Grešova,500,168,35,354,1612204213236,1,19,30,13
21.24125,48.99192,29,P,9,531,Okružná,1,114,Grešova,500,163,22,397,1612200613131,1,18,30,13
21.24133,48.99212,23,P,2,2,Na Hlavnej,1,531,Okružná,800,616,42,405,1612201948159,1,18,52,28
21.24112,48.99203,29,P,9,531,Okružná,1,114,Grešova,500,150,29,397,1612193397666,1,16,29,57
21.24149,48.99206,23,P,2,2,Na Hlavnej,1,531,Okružná,800,597,11,405,1612269180886,2,13,33,0
21.24129,48.99195,29,P,9,531,Okružná,1,114,Grešova,500,163,124,357,1612265310783,2,12,28,30
21.24126,48.99195,29,P,9,531,Okružná,1,114,Grešova,500,163,-39,357,1612272676121,2,14,31,16
21.24145,48.99208,23,P,2,2,Na Hlavnej,1,531,Okružná,800,597,10,405,1612273981149,2,14,53,1
21.24097,48.99246,29,P,9,531,Okružná,1,114,Grešova,500,104,43,357,1612268970879,2,13,29,30
21.2413,48.99196,29,P,9,531,Okružná,1,114,Grešova,500,168,-77,357,1612279906275,2,16,31,46
21.24145,48.99203,23,P,2,2,Na Hlavnej,1,531,Okružná,800,597,-29,405,1612281211304,2,16,53,31
21.31915,48.97778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,-26,386,1611827955830,28,10,59,15
21.31915,48.97777,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,-29,386,1611827970838,28,10,59,30
21.31925,48.97778,46,P,10,68,Pri zámočku,1,69,Na Záhumní,370,14,-43,386,1611827985848,28,10,59,45
21.31908,48.97781,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-111,386,1611829126420,28,11,18,46
21.31905,48.97782,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,-46,362,1611835174377,28,12,59,34
21.31904,48.97782,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,-49,362,1611835189384,28,12,59,49
21.31919,48.97783,46,P,10,68,Pri zámočku,1,69,Na Záhumní,370,14,-61,362,1611835204387,28,13,0,4
21.31917,48.97781,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-70,392,1611807485720,28,5,18,5
21.31895,48.97781,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,20,-90,392,1611807500720,28,5,18,20
21.31909,48.9778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2285,60,386,1611813758760,28,7,2,38
21.31926,48.97782,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-99,386,1611814719255,28,7,18,39
21.31921,48.97782,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-106,386,1611814734246,28,7,18,54
21.31906,48.97782,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,20,-121,386,1611814749264,28,7,19,9
21.31867,48.97785,46,P,10,72,Záhradky,1,68,Pri zámočku,2400,2274,94,394,1611817315545,28,8,1,55
21.31934,48.97784,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-83,394,1611818290973,28,8,18,10
21.31921,48.9778,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-97,394,1611818305999,28,8,18,25
21.31855,48.97783,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,51,-106,394,1611818320989,28,8,18,40
21.31887,48.97781,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2358,26,408,1611820692221,28,8,58,12
21.31928,48.97783,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,27,408,1611820707236,28,8,58,27
