lon,lat,Nazov,DELAY,Current_Stop,From,Destination,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.90506,49.26186,Os 8912 ,0,Medzilaborce,Medzilaborce mesto,Humenné,1611826953497,28,10,42,33
21.90506,49.26186,Os 8912 ,0,Medzilaborce,Medzilaborce mesto,Humenné,1611826967497,28,10,42,47
21.90506,49.26186,Os 8912 ,0,Medzilaborce,Medzilaborce mesto,Humenné,1611827013558,28,10,43,33
21.90506,49.26186,Os 8912 ,0,Medzilaborce,Medzilaborce mesto,Humenné,1611827027546,28,10,43,47
20.52637,49.25529,Os 8311 ,0,Podolínec,Poprad-Tatry,Stará Ľubovňa,1611827237672,28,10,47,17
21.519728,49.019015,Os 9112 ,0,Hanušovce nad Topľou,Humenné,Prešov,1611827447718,28,10,50,47
21.32044,49.04386,Os 9213 ,0,Kapušany pri Prešove,Prešov,Bardejov,1611827447718,28,10,50,47
21.519728,49.019015,Os 9112 ,0,Hanušovce nad Topľou,Humenné,Prešov,1611827462733,28,10,51,2
21.32044,49.04386,Os 9213 ,0,Kapušany pri Prešove,Prešov,Bardejov,1611827462733,28,10,51,2
21.519728,49.019015,Os 9112 ,0,Hanušovce nad Topľou,Humenné,Prešov,1611827477746,28,10,51,17
21.519728,49.019015,Os 9112 ,0,Hanušovce nad Topľou,Humenné,Prešov,1611827492753,28,10,51,32
21.519728,49.019015,Os 9112 ,0,Hanušovce nad Topľou,Humenné,Prešov,1611827507777,28,10,51,47
21.519728,49.019015,Os 9112 ,0,Hanušovce nad Topľou,Humenné,Prešov,1611827522759,28,10,52,2
21.519728,49.019015,Os 9112 ,0,Hanušovce nad Topľou,Humenné,Prešov,1611827567793,28,10,52,47
21.519728,49.019015,Os 9112 ,0,Hanušovce nad Topľou,Humenné,Prešov,1611827582802,28,10,53,2
21.519728,49.019015,Os 9112 ,0,Hanušovce nad Topľou,Humenné,Prešov,1611827597787,28,10,53,17
21.519728,49.019015,Os 9112 ,0,Hanušovce nad Topľou,Humenné,Prešov,1611827627838,28,10,53,47
21.519728,49.019015,Os 9112 ,0,Hanušovce nad Topľou,Humenné,Prešov,1611827642820,28,10,54,2
22.172956,48.983733,Os 9414 ,300,Snina,Stakčín,Humenné,1611827957992,28,10,59,17
22.172956,48.983733,Os 9414 ,300,Snina,Stakčín,Humenné,1611827973025,28,10,59,33
22.172956,48.983733,Os 9414 ,360,Snina,Stakčín,Humenné,1611827987990,28,10,59,47
22.172956,48.983733,Os 9414 ,360,Snina,Stakčín,Humenné,1611828003057,28,11,0,3
21.990302,48.933803,Os 9415 ,0,Kamenica nad Cirochou,Humenné,Stakčín,1611828138072,28,11,2,18
21.990302,48.933803,Os 9415 ,0,Kamenica nad Cirochou,Humenné,Stakčín,1611828198154,28,11,3,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828228137,28,11,3,48
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828288158,28,11,4,48
21.48874,48.64368,Os 8813 ,300,Slanec,Košice,Čierna nad Tisou,1611828318154,28,11,5,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828318154,28,11,5,18
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828318154,28,11,5,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828333167,28,11,5,33
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828333167,28,11,5,33
21.48874,48.64368,Os 8813 ,300,Slanec,Košice,Čierna nad Tisou,1611828333167,28,11,5,33
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828348157,28,11,5,48
21.48874,48.64368,Os 8813 ,360,Slanec,Košice,Čierna nad Tisou,1611828348157,28,11,5,48
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828348157,28,11,5,48
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828363181,28,11,6,3
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828363181,28,11,6,3
21.48874,48.64368,Os 8813 ,360,Slanec,Košice,Čierna nad Tisou,1611828363181,28,11,6,3
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828408574,28,11,6,48
21.48874,48.64368,Os 8813 ,420,Slanec,Košice,Čierna nad Tisou,1611828408574,28,11,6,48
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828408574,28,11,6,48
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828423184,28,11,7,3
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828423184,28,11,7,3
21.48874,48.64368,Os 8813 ,420,Slanec,Košice,Čierna nad Tisou,1611828423184,28,11,7,3
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828438188,28,11,7,18
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828438188,28,11,7,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828453198,28,11,7,33
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828453198,28,11,7,33
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828468219,28,11,7,48
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828468219,28,11,7,48
21.29588,48.67004,REX 1906 ,120,Krásna nad Hornádom,Humenné,Košice,1611828468219,28,11,7,48
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828498218,28,11,8,18
21.29588,48.67004,REX 1906 ,120,Krásna nad Hornádom,Humenné,Košice,1611828498218,28,11,8,18
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828498218,28,11,8,18
21.22393,48.85288,Os 8512 ,0,Kysak,Košice,Prešov,1611828498218,28,11,8,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828588321,28,11,9,48
21.22393,48.85288,Os 8512 ,0,Kysak,Košice,Prešov,1611828588321,28,11,9,48
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828588321,28,11,9,48
21.32044,49.04386,Os 9115 ,0,Kapušany pri Prešove,Prešov,Humenné,1611828588321,28,11,9,48
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828603277,28,11,10,3
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828603277,28,11,10,3
21.22393,48.85288,Os 8512 ,0,Kysak,Košice,Prešov,1611828603277,28,11,10,3
